"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Paraguay","PRY","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.07000017166138","7.34999990463257","","","","10.9499998092651","12.460000038147","","14.7399997711182","22.5100002288818","18.3500003814697","18.0400009155273","14.5799999237061","14.960000038147","16.2900009155273","13.8400001525879","16.1800003051758","15.4300003051758","16.9799995422363","13.8800001144409","11.8900003433228","15.7799997329712","12.0900001525879","15.4799995422363","12.6099996566772","18.7299995422363","20.1499996185303","23.3400001525879","22.0599994659424",
"Paraguay","PRY","Part time employment, male (% of total male employment)","SL.TLF.PART.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.8800010681152","23.1499996185303","","27.8600006103516","26.8199996948242","22.8999996185303","23.4200000762939","19.8899993896484","20.2099990844727","21.8400001525879","21.7299995422363","25.7099990844727","19.8299999237061","20.3299999237061","23.7099990844727","20.3099994659424","20.9699993133545","23.8099994659424","24.6200008392334","23.5100002288818","25.1900005340576","26.3400001525879","","26.9799995422363",
"Paraguay","PRY","Labor force with intermediate education, female (% of female working-age population with intermediate education)","SL.TLF.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.4700012207031","67.0500030517578","","65.7300033569336","63.189998626709","60.4300003051758","62.810001373291","65.4100036621094","58.4599990844727","60.9500007629395","60.3600006103516","65.8000030517578","63.4300003051758","64.4899978637695","69.6699981689453","65.2799987792969","62.25","62.5699996948242","64.2900009155273","64.1900024414063","","","","",
"Paraguay","PRY","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","","","92.8199996948242","","","","","","","","","","89.7399978637695","","","","","","","","","","89.3300018310547","","","","","","","85.4499969482422","82.9800033569336","82.0999984741211","83.0400009155273","85.0999984741211","85.870002746582","91.0999984741211","86.4000015258789","","86.3600006103516","84.4599990844727","85.3000030517578","84.3000030517578","85.9700012207031","83.9599990844727","86.0100021362305","85","83.4499969482422","83.9700012207031","84.9800033569336","84.1800003051758","82.4000015258789","81.6900024414063","82.7399978637695","82.3600006103516","81.9499969482422","81.4800033569336","83.5800018310547","83.6500015258789","84.4300003051758","84.7200012207031","83.4300003051758","84.2200012207031",
"Paraguay","PRY","Labor force participation rate, female (% of female population ages 15+) (national estimate)","SL.TLF.CACT.FE.NE.ZS","","","24.75","","","","","","","","","","22.9500007629395","","","","","","","","","","21.9099998474121","","","","","","","53.3800010681152","50.7799987792969","48.1599998474121","50.689998626709","52.8800010681152","52.75","63.2000007629395","57.7000007629395","","48.1300010681152","47.7900009155273","53.5","52.5699996948242","51.8899993896484","51.7299995422363","57.0200004577637","55.7599983215332","51.25","54.2799987792969","53.8699989318848","55.189998626709","53.0299987792969","54.6800003051758","59.9099998474121","57.8899993896484","54.6699981689453","55.1300010681152","56.5299987792969","56.8499984741211","59.4599990844727","60.3499984741211","57.2599983215332","59.9500007629395",
"Paraguay","PRY","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8000030517578","90.2099990844727","","91.7399978637695","84.6100006103516","87.3000030517578","87.870002746582","89.0599975585938","87.6699981689453","87.5299987792969","89.7900009155273","85.9499969482422","85.8499984741211","88.0100021362305","87.7200012207031","88.6999969482422","85.0899963378906","86.9400024414063","85.9599990844727","86.7799987792969","","","","",
"Paraguay","PRY","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.37","88.45","88.44","88.49","88.52","88.64","88.72","88.78","88.82","88.85","88.88","88.9","88.89","86.66","88.37","87.38","87.16","87.25","87.55","88","86.62","85.57","86.77","86.4","85.69","86.2","87.23","87.01","87.65","88.1","","",
"Paraguay","PRY","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.7050018310547","77.5479965209961","77.6100006103516","77.3160018920898","76.9789962768555","76.4680023193359","76.572998046875","76.3570022583008","76.6029968261719","77.0189971923828","77.556999206543","77.9410018920898","78.2239990234375","72.7109985351563","76.109001159668","72.9759979248047","73.4130020141602","72.1220016479492","72.3939971923828","76.1829986572266","70.197998046875","67.3649978637695","70.1969985961914","68.9390029907227","69.1900024414063","67.3970031738281","69.5910034179688","68.8560028076172","69.9670028686523","70.8519973754883","67.8720016479492","69.5419998168945",
"Paraguay","PRY","Children in employment, total (% of children ages 7-14)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3","","","","","","","","","10.42105","","","","","","","",
"Paraguay","PRY","Average working hours of children, working only, male, ages 7-14 (hours per week)","SL.TLF.0714.WK.MA.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.3","","","","","","","","","47.247","","","","","","","",
